client_id,full_name,email,age,monthly_income,credit_score,registration_date
1000,Client_0,,69,22431.83,637,2020-01-01
1001,Client_1,,32,35242.87,613,2020-01-02
1002,Client_2,,89,8774.76,374,2020-01-03
1003,Client_3,,78,28409.88,578,2020-01-04
1004,Client_4,,38,25255.71,475,2020-01-05
1005,Client_5,,41,10891.49,572,2020-01-06
1006,Client_6,,20,7914.97,588,2020-01-07
1007,Client_7,,39,35103.45,571,2020-01-08
1008,Client_8,,70,34627.91,365,2020-01-09
1009,Client_9,,19,26725.58,782,2020-01-10
1010,Client_10,,47,42166.58,547,2020-01-11
1011,Client_11,,55,29409.68,455,2020-01-12
1012,Client_12,,19,37498.05,346,2020-01-13
1013,Client_13,,81,29203.25,753,2020-01-14
1014,Client_14,,77,22241.9,500,2020-01-15
1015,Client_15,,38,14424.69,423,2020-01-16
1016,Client_16,,50,18965.64,300,2020-01-17
1017,Client_17,,75,22428.78,490,2020-01-18
1018,Client_18,,39,38631.53,815,2020-01-19
1019,Client_19,,66,32699.2,741,2020-01-20
1020,Client_20,,76,28303.19,442,2020-01-21
1021,Client_21,,59,33700.1,490,2020-01-22
1022,Client_22,,77,30273.84,832,2020-01-23
1023,Client_23,,32,27619.38,526,2020-01-24
1024,Client_24,,79,10013.41,612,2020-01-25
1025,Client_25,,79,36391.58,601,2020-01-26
1026,Client_26,,64,20414.88,759,2020-01-27
1027,Client_27,,79,35885.4,700,2020-01-28
1028,Client_28,,68,36852.1,692,2020-01-29
1029,Client_29,,72,18299.61,506,2020-01-30
1030,Client_30,,81,34497.16,509,2020-01-31
1031,Client_31,,20,21390.13,414,2020-02-01
1032,Client_32,,68,21449.68,550,2020-02-02
1033,Client_33,,24,27574.73,518,2020-02-03
1034,Client_34,,38,27844.73,706,2020-02-04
1035,Client_35,,56,25385.52,742,2020-02-05
1036,Client_36,,35,11657.12,653,2020-02-06
1037,Client_37,,21,23785.53,849,2020-02-07
1038,Client_38,,77,47784.79,441,2020-02-08
1039,Client_39,,31,-2840.04,800,2020-02-09
1040,Client_40,,26,33697.4,846,2020-02-10
1041,Client_41,,70,35571.25,841,2020-02-11
1042,Client_42,,19,11416.52,806,2020-02-12
1043,Client_43,,77,20305.61,580,2020-02-13
1044,Client_44,,88,14992.83,723,2020-02-14
1045,Client_45,,61,43539.65,569,2020-02-15
1046,Client_46,,25,36030.25,453,2020-02-16
1047,Client_47,,64,36514.25,382,2020-02-17
1048,Client_48,,52,26206.47,725,2020-02-18
1049,Client_49,,53,38120.92,574,2020-02-19
1050,Client_50,user_50@bankdomain.com,-5,24917.63,583,2020-02-20
1051,Client_51,user_51@bankdomain.com,-5,38591.58,472,2020-02-21
1052,Client_52,user_52@bankdomain.com,-5,23513.04,626,2020-02-22
1053,Client_53,user_53@bankdomain.com,-5,18207.58,362,2020-02-23
1054,Client_54,user_54@bankdomain.com,-5,43109.5,372,2020-02-24
1055,Client_55,user_55@bankdomain.com,-5,24791.51,674,2020-02-25
1056,Client_56,user_56@bankdomain.com,150,16012.0,807,2020-02-26
1057,Client_57,user_57@bankdomain.com,150,15903.66,697,2020-02-27
1058,Client_58,user_58@bankdomain.com,150,15934.21,419,2020-02-28
1059,Client_59,user_59@bankdomain.com,150,33444.42,736,2020-02-29
1060,Client_60,user_60@bankdomain.com,150,24011.37,764,2020-03-01
1061,Client_61,user_61@bankdomain.com,79,47979.59,585,2020-03-02
1062,Client_62,user_62@bankdomain.com,31,36861.78,564,2020-03-03
1063,Client_63,user_63@bankdomain.com,65,27571.38,619,2020-03-04
1064,Client_64,user_64@bankdomain.com,32,39038.98,675,2020-03-05
1065,Client_65,user_65@bankdomain.com,89,20044.93,388,2020-03-06
1066,Client_66,user_66@bankdomain.com,79,6452.14,502,2020-03-07
